Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,859.17,574.44,"1,202.34"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,"1,364.47","1,221.56","1,530.06"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Deaths,Rate,51.44,45.81,57.49
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Disability-Adjusted Life Years (DALYs),Rate,"2,138.72","1,725.75","2,630.40"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years Lived with Disability (YLDs),Rate,830.56,555.11,"1,162.87"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years of Life Lost (YLLs),Rate,"1,308.16","1,170.64","1,467.54"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Deaths,Rate,8.89,8.08,9.5
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,860.94,653.67,"1,111.53"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,610.4,419.96,846.86
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,250.54,233.71,264.67
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Deaths,Rate,15.34,13.68,16.51
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,306.80",988.81,"1,687.16"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years Lived with Disability (YLDs),Rate,937.67,647.97,"1,295.50"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years of Life Lost (YLLs),Rate,369.13,340.84,391.66
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Deaths,Rate,11.65,10.75,12.38
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,029.44",792.09,"1,319.20"
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,699.99,482.67,971.93
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,329.45,309.42,347.27
NAR,North America,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Deaths,Rate,18.29,16.75,19.49
